LGA/Quarter,Jun 1999,Sep 1999,Dec 1999,Mar 2000,Jun 2000,Sep 2000,Dec 2000,Mar 2001,Jun 2001,Sep 2001,Dec 2001,Mar 2002,Jun 2002,Sep 2002,Dec 2003,Mar 2003,Jun 2003,Sep 2003,Dec 2003,Mar 2004,Jun 2004,Sep 2004,Dec 2004,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007,Sep 2007,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021
Campaspe,83,90,85,90,85,85,90,90,105,93,90,90,100,90,89,90,89,95,90,90,89,89,89,90,90,100,95,95,103,95,95,110,120,115,123,108,120,110,130,125,115,115,130,120,123,100,120,120,133,140,128,150,125,125,140,123,133,125,125,-,145,120,130,135,150,170,150,148,-,145,-,-,150,148,130,148,150,150,150,155,148,165,165,170,165,150,170,170,170
Central Goldfields,80,75,-,-,78,90,-,-,80,72,80,85,75,-,-,75,100,-,-,93,-,-,90,105,-,100,-,100,-,100,-,90,-,-,-,105,-,-,-,-,-,-,-,105,-,-,-,125,-,-,-,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,165,-,-,-,173,155,-,165,-,-,-,-,-,-,-,-,-,-,-,-
Gannawarra,83,-,-,-,-,-,-,85,-,90,-,-,-,93,-,-,88,-,-,-,-,-,-,-,-,-,-,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,-,-,-,-,-,-,-,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greater Bendigo,90,85,85,90,85,90,90,88,90,90,90,95,100,95,100,100,100,100,105,110,110,111,113,110,115,115,110,120,120,120,110,123,120,125,125,125,125,130,128,135,130,138,140,133,135,150,140,144,150,163,153,160,155,160,170,160,165,160,169,165,165,172,170,170,160,170,160,180,183,180,180,176,188,180,160,200,188,180,180,180,184,200,190,200,200,205,220,220,230
Loddon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Macedon Ranges,78,90,90,90,95,-,100,56,-,100,100,101,90,132,-,93,100,105,110,110,-,110,100,110,110,110,110,125,110,133,110,91,130,115,135,140,-,-,-,138,143,150,180,147,165,-,138,-,-,160,-,195,225,185,-,190,200,-,200,-,-,-,-,210,165,235,170,-,200,180,-,250,230,-,225,210,-,213,205,181,195,265,243,193,290,235,305,252,.
Mildura,75,80,80,80,85,85,85,85,85,88,85,95,88,95,85,98,95,95,100,95,100,110,96,105,98,100,98,100,100,92,100,100,120,95,110,110,105,110,125,110,105,125,128,123,128,120,110,127,130,135,140,125,130,130,130,138,135,145,148,155,150,170,180,150,175,180,160,156,188,190,190,170,170,190,170,175,208,165,180,175,200,166,175,210,210,200,195,210,200
Mount Alexander,-,-,-,-,-,95,100,-,100,-,80,-,-,-,-,-,-,110,-,-,-,-,-,-,-,-,125,130,-,-,-,-,148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,-,-,-,-,-,-,-,-,210,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Swan Hill,80,75,80,80,80,75,80,80,80,80,80,85,85,95,90,90,90,80,90,90,90,90,98,93,95,95,95,95,95,100,100,100,105,110,110,110,110,110,115,115,110,110,110,115,115,115,120,120,115,120,125,120,120,130,128,130,128,130,130,135,135,135,130,135,135,135,135,140,140,143,140,140,143,150,150,145,140,150,150,155,150,155,158,160,165,160,160,170,170
Group Total,80,80,80,85,85,85,85,85,85,90,90,90,90,95,90,95,95,95,100,100,100,105,100,105,105,105,100,108,110,110,105,110,120,115,115,113,115,110,120,125,120,125,130,125,125,130,125,125,130,138,134,150,145,144,145,145,140,150,152,160,150,150,160,155,154,170,160,160,170,170,170,170,160,170,156,180,165,165,169,170,170,188,180,180,195,180,180,200,195
Alpine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,-,-,90,90,110,-,-,-,-,-,-,-,-,-,-,-,-,150,-,150,-,-,-,-,135,-,120,-,-,-,145,-,-,-,140,-,145,150,-,-,160,-,-,-,-,180,175,-,-,170,230,-,185,200,-,-,-,-,-,-,-,-,-,-,-,-,-
Benalla,75,75,80,75,85,-,80,85,83,85,-,90,80,85,100,105,100,-,100,-,100,-,-,-,120,-,110,-,-,-,-,125,-,120,115,125,-,105,120,-,170,160,140,145,135,125,140,140,140,130,130,140,150,138,140,140,155,130,143,130,150,150,150,150,150,150,145,150,165,150,150,-,150,-,160,150,178,150,160,188,173,180,185,215,169,170,195,320,250
Greater Shepparton,85,85,85,85,85,90,85,85,90,85,90,95,90,90,95,95,95,90,90,100,98,95,100,100,100,105,100,110,110,115,115,110,108,120,115,125,125,120,120,125,135,120,135,135,130,138,135,130,145,135,130,143,140,140,130,140,140,140,140,150,163,155,145,160,163,170,168,170,173,168,168,165,165,170,170,170,170,150,188,175,200,190,188,195,188,180,235,200,205
Indigo,-,-,-,-,-,68,85,-,-,-,-,-,-,-,90,95,-,-,-,100,-,-,-,-,-,-,-,110,-,-,113,108,-,-,-,-,-,-,-,-,120,150,-,-,-,-,-,-,-,-,-,-,150,-,-,-,-,-,-,-,-,-,-,-,-,-,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mansfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mitchell,85,88,-,80,83,88,90,88,90,90,90,85,95,85,90,90,90,91,94,95,94,100,90,-,95,95,100,98,98,100,100,115,115,115,100,110,115,115,105,-,-,-,120,-,-,105,120,135,-,-,-,-,150,-,136,150,-,153,155,160,150,-,-,-,150,170,-,178,-,185,195,-,150,-,-,178,-,-,-,-,-,-,-,-,-,-,-,-,-
Moira,65,80,77,75,75,80,80,90,85,80,85,85,83,85,85,83,85,85,90,85,90,85,70,90,90,90,90,70,95,100,80,90,100,100,84,100,96,100,95,105,110,100,103,100,103,105,115,125,110,110,113,125,110,120,110,110,110,125,120,100,110,123,123,118,135,125,135,120,125,145,110,128,123,125,120,145,138,140,143,125,123,150,135,150,155,130,138,120,140
Murrindindi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strathbogie,-,-,-,-,-,75,-,-,-,-,-,85,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,170,120,-,170,-,-,-,170,160,-,-,-,-,-,-,-,150,155,-,140,180,150,-,-,158,173,200,178,170,-,-,-,-,-,-,-,-,200,185,-,210,225,200,210,200,210,.,210,290,203,210,235
Towong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,-,-,-,-,-,-,-,-,-,-,-,-,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wangaratta,83,90,80,85,85,85,85,85,88,95,85,88,90,98,90,90,85,90,-,105,-,95,110,110,120,125,115,115,125,120,113,125,130,128,125,125,120,113,125,120,120,130,158,133,148,133,133,140,130,130,140,143,140,145,140,140,140,140,140,150,140,143,165,141,150,160,165,150,153,175,185,170,150,180,165,180,193,185,180,190,195,200,190,185,195,185,195,193,200
Wodonga,85,88,90,85,85,85,88,88,90,85,90,90,88,95,90,90,95,100,105,100,95,101,98,110,100,118,115,115,115,125,130,130,130,110,120,123,138,120,138,115,130,140,140,110,175,140,140,140,140,150,150,150,148,163,153,165,160,175,170,170,175,170,173,168,165,203,175,170,173,178,165,175,160,175,175,173,175,175,180,173,185,190,180,175,190,200,185,200,200
Group Total,85,85,85,85,85,85,85,85,85,85,90,85,90,90,90,90,90,90,95,98,95,95,100,95,100,105,100,105,115,115,110,114,113,120,110,120,120,115,120,120,130,127,130,130,135,130,130,130,140,130,135,140,140,140,140,148,140,140,140,145,155,150,160,150,160,160,165,160,170,160,165,170,155,170,170,170,180,165,180,180,190,185,180,185,193,185,195,200,200
Bass Coast,-,-,90,-,85,-,-,-,-,-,-,-,-,120,-,-,115,-,-,-,-,100,-,-,105,-,-,-,-,-,-,-,-,-,-,-,-,-,125,-,-,-,-,215,400,270,-,265,210,305,400,260,213,158,-,175,-,260,250,230,-,-,-,240,-,174,215,-,230,250,220,245,-,260,220,250,-,-,-,-,-,-,-,-,-,-,-,-,-
Baw Baw,75,78,73,75,70,88,80,90,80,100,88,75,90,100,75,-,100,98,95,108,110,100,100,100,100,100,110,110,103,115,110,98,115,119,115,120,120,118,115,130,120,140,125,150,130,135,155,135,158,145,170,140,150,170,155,160,170,155,-,175,143,160,150,180,-,170,165,-,170,190,160,185,190,180,195,185,185,-,-,-,-,-,-,-,-,-,-,-,-
East Gippsland,85,80,85,80,75,83,80,85,80,90,85,85,90,90,90,90,93,103,120,95,90,97,115,125,80,115,120,100,115,100,115,120,123,103,130,130,80,130,130,138,140,140,130,135,140,140,115,160,155,150,150,156,125,150,160,148,158,170,150,170,155,170,160,168,180,175,157,180,168,175,175,168,180,165,180,190,190,190,175,185,195,200,200,210,200,220,185,220,240
Latrobe,70,65,65,65,70,65,75,65,70,65,70,65,70,75,70,70,75,75,75,75,75,75,80,75,75,75,80,80,80,80,80,80,90,88,88,90,95,90,100,90,100,100,105,110,100,114,118,120,115,120,115,120,118,120,120,123,120,120,120,123,120,135,125,150,125,160,145,150,130,140,150,140,140,150,150,150,150,150,160,175,160,165,158,165,170,180,195,185,200
South Gippsland,75,-,65,75,75,75,73,85,-,85,75,-,83,80,90,95,105,-,-,110,-,120,110,115,-,110,98,115,-,120,-,-,120,125,120,-,-,115,185,100,120,120,130,125,123,140,-,-,143,123,150,155,160,135,165,165,-,170,150,160,175,148,-,155,-,-,160,145,145,180,173,-,160,190,168,180,125,168,188,165,210,185,185,185,220,201,205,190,220
Wellington,75,65,75,65,70,80,75,73,75,75,75,80,80,80,85,85,90,90,90,85,93,100,100,95,110,95,100,95,110,95,110,108,103,110,110,120,115,110,123,115,125,120,123,130,133,135,130,145,145,140,135,140,145,140,135,143,150,148,150,150,155,160,160,160,160,160,170,170,170,160,150,160,160,160,163,160,160,168,180,175,170,190,200,190,200,200,200,220,200
Group Total,70,70,75,70,70,73,75,75,75,75,75,70,75,80,75,80,90,83,85,80,80,85,90,85,85,90,90,90,95,90,85,90,100,95,100,100,100,110,115,105,115,115,120,120,120,135,125,133,135,135,140,140,135,135,140,140,140,140,140,150,145,150,150,160,150,165,160,160,160,164,155,160,160,160,165,160,163,165,170,180,170,180,180,185,180,200,200,200,200
Banyule,120,125,130,130,135,135,130,140,140,145,138,145,150,153,150,150,160,160,170,160,178,170,165,170,160,170,178,175,190,175,180,180,190,180,190,195,195,200,230,205,240,250,250,225,260,225,250,225,275,260,270,220,270,250,270,215,270,270,270,225,260,256,290,219,270,280,300,268,290,300,320,300,320,308,303,305,340,340,340,310,330,330,350,345,340,330,330,310,320
Brimbank,90,90,90,90,95,95,95,100,100,100,100,100,110,110,105,110,110,110,110,110,115,115,115,120,120,115,110,120,120,125,120,133,140,155,195,150,160,165,170,170,170,180,185,200,190,200,195,200,200,198,200,200,200,200,200,200,200,210,208,200,200,200,220,222,210,210,210,210,210,220,225,233,223,230,225,238,250,245,250,245,250,258,250,250,255,260,235,240,240
Darebin,105,110,110,110,115,115,120,120,125,125,125,130,130,135,135,135,140,140,140,147,145,150,145,150,150,155,150,159,160,160,165,173,185,185,190,200,205,225,220,230,230,240,230,240,245,250,250,250,250,260,255,260,260,270,260,270,260,270,270,270,270,270,280,280,280,290,280,280,280,295,300,300,295,300,310,310,310,320,310,320,320,330,320,330,320,320,310,310,300
Hobsons Bay,100,100,100,105,110,105,115,115,120,118,120,125,125,130,120,125,131,125,130,133,128,135,130,135,138,135,145,135,150,153,150,150,160,165,160,180,185,195,200,190,200,220,210,220,230,220,243,230,230,230,220,240,240,250,235,238,250,260,240,250,255,260,260,260,285,270,260,265,260,280,270,285,275,308,295,300,300,315,300,300,310,300,310,295,300,313,290,288,295
Hume,105,105,110,108,115,115,110,120,115,125,120,120,113,123,120,120,120,135,120,143,123,135,113,135,125,130,140,138,150,135,145,145,153,165,158,160,165,185,175,180,205,190,190,198,220,203,190,183,210,230,203,215,230,220,200,193,200,225,225,238,228,210,230,240,245,245,218,230,220,270,220,230,285,265,255,250,245,245,260,258,280,250,280,270,310,255,280,280,220
Maribyrnong,95,95,95,95,95,95,100,100,100,105,105,110,110,120,110,115,120,120,120,125,120,125,125,130,130,130,128,135,133,135,135,150,170,160,160,195,195,195,190,195,195,195,195,200,200,200,210,215,210,223,230,220,230,220,230,230,240,230,249,230,255,256,253,249,250,260,250,240,250,280,260,296,260,300,270,275,275,282,300,275,281,310,350,300,285,300,300,290,300
